entity,code,min_long,max_long
Uruguay,URY,-58.438134765624994,-53.12558593749999
Uzbekistan,UZB,55.975683593750006,73.13691406250001
Vanuatu,VUT,166.52607421875,167.20078125000003
Vatican,VAT,12.427539062500017,12.439160156250011
Venezuela,VEN,-73.3662109375,-59.82890624999999
Vietnam,VNM,102.12744140625,109.44492187500003
Wallis and Futuna,WLF,-178.194384765625,-178.04365234375
Western Sahara,ESH,-17.098779296874994,-8.68212890625
Yemen,YEM,42.657812500000006,53.08564453125001
Zambia,ZMB,21.978906250000023,33.66152343750002
Zimbabwe,ZWE,25.224023437500023,33.00673828125002
eSwatini,SWZ,30.787500000000023,32.112890625000006
